V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
10.52106553	16.87206603	14.03	14.1827914	9.54945973	9.866423212	9.412441221	10.74026513	13.19932466	9.544062031
10.54555778	16.88	14.03	14.18864432	9.673711856	9.937578789	9.533396698	10.7734017	13.23309155	9.704192096
10.57005003	16.88	14.03751376	14.1989945	9.810710355	10.0246023	9.651995998	10.80378189	13.25	9.843601801
10.5934067	16.89312656	14.03175088	14.20964982	9.936143072	10.09788894	9.779454727	10.8313957	13.25	9.969634817
10.61177589	16.90681341	14.03898449	14.2037969	10.08461731	10.16605803	9.887483742	10.8552076	13.25	10.09229115
10.63014507	16.92025013	14.04	14.20411206	10.21578289	10.24424712	9.980410205	10.87729865	13.26158579	10.19314157
10.64851426	16.92709355	14.04	14.21581791	10.32846923	10.34684842	10.07683342	10.91393197	13.27617309	10.29989495
10.66688344	16.93393697	14.03761881	14.22	10.43118559	10.42103552	10.17662831	10.95296148	13.29038019	10.42497249
10.6870035	16.94078039	14.02192596	14.22	10.53103552	10.51648324	10.2695998	10.99714357	13.29767384	10.55595298
10.71149575	16.94762381	14.02733867	14.22546773	10.60961981	10.61936968	10.36762881	11.03707854	13.29503252	10.71523262
10.731991	16.9634017	14.02	14.22867934	10.7078089	10.69998499	10.45878939	11.06469235	13.29226113	10.89381691
10.75036018	16.98	14.02	14.22282641	10.78235118	10.80627314	10.56842421	11.10707354	13.29955478	11.08549275
10.76872936	16.98	14.01513257	14.22605303	10.88452226	10.90496248	10.66171586	11.16782391	13.3	11.27322661
10.78709855	16.989995	14.0043972	14.23775888	10.97622811	10.99505753	10.76384692	11.22156078	13.3	11.46004502
10.80546773	16.99815908	13.99366183	14.24	11.05610805	11.09765883	10.87643822	11.27126563	13.3	11.63588294
10.82383692	16.99131566	13.99	14.24117059	11.13598799	11.19452726	10.98116058	11.33007504	13.3	11.78601301
10.8422061	17.00105553	13.99	14.25287644	11.20190095	11.29592296	11.08106553	11.39090045	13.29397699	11.91178589
10.86057529	17.01474237	13.99	14.25770885	11.26181091	11.40507254	11.17748874	11.45717359	13.28668334	12.01418209
10.87596298	17.02842921	13.99927964	14.25185593	11.33562781	11.50034517	11.27988994	11.5212056	13.28	12.1032016
10.8882091	17.03	13.99004502	14.253997	11.40856928	11.61076038	11.38791896	11.57643322	13.28	12.16884442
10.91091046	17.03290145	14.02075038	14.25984992	11.44384692	11.72801901	11.51513757	11.64249125	13.2748024	12.21111056
10.93270135	17.03974487	14.03445723	14.26570285	11.525993	11.84527764	11.63477239	11.72533267	13.26501751	12.2477989
10.94494747	17.04658829	14.06222111	14.27	11.56689345	11.92736868	11.75401201	11.80817409	13.25043022	12.26
10.9607904	17.05	14.08182591	14.27	11.65254127	12.04724362	11.93606303	11.89101551	13.23584292	12.28
10.97915958	17.05	14.12107554	14.27978489	11.7105903	12.18705353	12.13051526	11.97385693	13.23437219	12.29786393
10.99168584	17.05	14.15328164	14.29734367	11.76793897	12.30431216	12.33218609	12.05669835	13.23666833	12.31455228
11.00393197	17.05792396	14.19581291	14.29503252	11.8310005	12.40252626	12.56589295	12.14484242	13.22208104	12.34124062
11.01617809	17.07161081	14.22589795	14.29246123	11.89772886	12.51250625	12.80516258	12.2332066	13.20749375	12.35792896
11.02842421	17.08529765	14.2697999	14.31002001	11.96082041	12.63407704	13.06036018	12.32157079	13.19645323	12.38923462
11.04067034	17.08550775	14.31947474	14.32252626	12.04109555	12.73667834	13.29641821	12.40993497	13.19	12.40130565
11.05291646	17.08	14.36241621	14.32837919	12.13773387	12.8506053	13.55247624	12.49829915	13.19	12.417994
11.06516258	17.08	14.4141971	14.33423212	12.21055028	12.96188094	13.77853427	12.58666333	13.17914457	12.41531766
