Date	Time	CongHt
1/25/20	9:15	8.89
1/25/20	9:30	8.92
1/25/20	9:45	8.95
1/25/20	10:00	9
1/25/20	10:15	9
1/25/20	10:30	9.04
1/25/20	10:45	9.09
1/25/20	11:00	9.11
1/25/20	11:15	9.15
1/25/20	11:30	9.18
1/25/20	11:45	9.2
1/25/20	12:00	9.23
1/25/20	12:15	9.26
1/25/20	12:30	9.28
1/25/20	12:45	9.32
1/25/20	13:00	9.33
1/25/20	13:15	9.36
1/25/20	13:30	9.38
1/25/20	13:45	9.39
1/25/20	14:00	9.43
1/25/20	14:15	9.41
1/25/20	14:30	9.43
1/25/20	14:45	9.43
1/25/20	15:00	9.45
1/25/20	15:15	9.46
1/25/20	15:30	9.45
1/25/20	15:45	9.45
1/25/20	16:00	9.44
1/25/20	16:15	9.46
1/25/20	16:30	9.45
1/25/20	16:45	9.44
1/25/20	17:00	9.42
1/25/20	17:15	9.42
1/25/20	17:30	9.4
1/25/20	17:45	9.39
1/25/20	18:00	9.39
1/25/20	18:15	9.4
1/25/20	18:30	9.36
1/25/20	18:45	9.35
1/25/20	19:00	9.33
1/25/20	19:15	9.32
1/25/20	19:30	9.3
1/25/20	19:45	9.3
1/25/20	20:00	9.27
1/25/20	20:15	9.27
1/25/20	20:30	9.25
1/25/20	20:45	9.24
1/25/20	21:00	9.23
1/25/20	21:15	9.23
1/25/20	21:30	9.2
1/25/20	21:45	9.19
1/25/20	22:00	9.18
1/25/20	22:15	9.16
1/25/20	22:30	9.15
1/25/20	22:45	9.14
1/25/20	23:00	9.12
1/25/20	23:15	9.12
1/25/20	23:30	9.09
1/25/20	23:45	9.08
1/26/20	0:00	9.06
1/26/20	0:15	9.05
1/26/20	0:30	9.03
1/26/20	0:45	9
1/26/20	1:00	8.99
1/26/20	1:15	8.97
1/26/20	1:30	8.95
1/26/20	1:45	8.92
1/26/20	2:00	8.9
1/26/20	2:15	8.87
1/26/20	2:30	8.84
1/26/20	2:45	8.8
1/26/20	3:00	8.78
