V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
5.267043522	9.349949975	8.13	6.004822411	2.25	3.6	5.45	5.940270135	4.51	5.606628314
5.28082041	9.346528264	8.13	6.010675338	2.25	3.6	5.463646823	5.94	4.51	5.675007504
5.294597299	9.343106553	8.13	6.016528264	2.25	3.6	5.485252626	5.939224612	4.51	5.753381691
5.306513257	9.339684842	8.121905953	6.022381191	2.25	3.6	5.506858429	5.933701851	4.51	5.816758379
5.317228614	9.336263132	8.12	6.028234117	2.2587994	3.6	5.518464232	5.92817909	4.51	5.880135068
5.327943972	9.332841421	8.12	6.038174087	2.286353177	3.6	5.54	5.922656328	4.51	5.945267634
5.33865933	9.32883942	8.12	6.04987994	2.351385693	3.6	5.551675838	5.917133567	4.51	6.006888444
5.349374687	9.321995998	8.12	6.055792896	2.386263132	3.6	5.563281641	5.911610805	4.51	6.070265133
5.360090045	9.315152576	8.12	6.061645823	2.424957479	3.594052026	5.58	5.906088044	4.51	6.123641821
5.370575288	9.308309155	8.12	6.067498749	2.482346173	3.59	5.59	5.900565283	4.51	6.177018509
5.378229115	9.301465733	8.12	6.073351676	2.542256128	3.59	5.6	5.9	4.503176588	6.220395198
5.385882941	9.294622311	8.12	6.079204602	2.593471736	3.59	5.61	5.89951976	4.5	6.271885943
5.393536768	9.288334167	8.12	6.085057529	2.643396698	3.59	5.62	5.893996998	4.5	6.317148574
5.401190595	9.283201601	8.12	6.09182091	2.745307654	3.594992496	5.622916458	5.888474237	4.5	6.355262631
5.408844422	9.278069035	8.12	6.103526763	2.803246623	3.6	5.63	5.882951476	4.5	6.393901951
5.416498249	9.272936468	8.12	6.11	2.861805903	3.599389695	5.63	5.88	4.5	6.42863932
5.425812906	9.267803902	8.12	6.11	2.904477239	3.59158079	5.637733867	5.88	4.5	6.465327664
5.436528264	9.262671336	8.128389195	6.114322161	2.944417209	3.59	5.64	5.876383192	4.5	6.502016008
5.447243622	9.257538769	8.13	6.120175088	2.984357179	3.594037019	5.64	5.87086043	4.5	6.528704352
5.457958979	9.252406203	8.13	6.126028014	3.024297149	3.6	5.64	5.865337669	4.5	6.565392696
5.468674337	9.247273637	8.13	6.13188094	3.089914957	3.6	5.63	5.859814907	4.5	6.592081041
5.479389695	9.242141071	8.13	6.137733867	3.159809905	3.592536268	5.63	5.854292146	4.5	6.627538769
5.490105053	9.237008504	8.13	6.143586793	3.195587794	3.59	5.63	5.848769385	4.495712856	6.655457729
5.50082041	9.231875938	8.132801401	6.14943972	3.225542771	3.593081541	5.62	5.843246623	4.491575788	6.682146073
5.511535768	9.227828914	8.14	6.15	3.272496248	3.600890445	5.61	5.837723862	4.498864432	6.708834417
5.522251126	9.224407204	8.14	6.151145573	3.305452726	3.60869935	5.607813907	5.832201101	4.493846923	6.735522761
5.532966483	9.220985493	8.14	6.156998499	3.343876938	3.61	5.596208104	5.826678339	4.49	6.762211106
5.543681841	9.217563782	8.14	6.165702851	3.375362681	3.61	5.584602301	5.821155578	4.49146073	6.78889945
5.554397199	9.214142071	8.146478239	6.177408704	3.405317659	3.61	5.572996498	5.815632816	4.506038019	6.81
5.564382191	9.21072036	8.15	6.18	3.443696848	3.61	5.561390695	5.810110055	4.515307654	6.832276138
5.573566783	9.207298649	8.15	6.180410205	3.483636818	3.61	5.54	5.804587294	4.52	6.858964482
5.582751376	9.203876938	8.15	6.186263132	3.515182591	3.61	5.52817909	5.799064532	4.52	6.875652826
5.591935968	9.200455228	8.15	6.19	3.561895948	3.61	5.506573287	5.793541771	4.527173587	6.892341171
5.60112056	9.197033517	8.16	6.19	3.595092546	3.611170585	5.484967484	5.79	4.53	6.909029515
5.610305153	9.193611806	8.16	6.197643822	3.633396698	3.61897949	5.463361681	5.79	4.53	6.925717859
5.619489745	9.190190095	8.16	6.209349675	3.665002501	3.633576788	5.441755878	5.786973487	4.53	6.942406203
5.627228614	9.186768384	8.162361181	6.21	3.703276638	3.644597299	5.420150075	5.781450725	4.53	6.96
